wavelength	dark	baseline
275.23135822616604	2807.0	12218.0
275.6972368656942	2805.0	12317.0
276.1630871412295	2798.0	12359.0
276.628909052931	2807.0	12411.0
277.0947026009576	2799.0	12600.0
277.5604677854682	2801.0	12628.0
278.02620460662183	2800.0	12485.0
278.4919130645775	2809.0	12413.0
278.95759315949397	2804.0	12371.0
279.4232448915305	2814.0	12417.0
279.8888682608458	2811.0	12441.0
280.35446326759893	2796.0	12471.0
280.82002991194884	2804.0	12439.0
281.2855681940544	2810.0	12624.0
281.75107811407474	2817.0	12814.0
282.2165596721688	2800.0	12924.0
282.68201286849524	2808.0	13118.0
283.14743770321337	2795.0	13310.0
283.612834176482	2817.0	13263.0
284.0782022884602	2806.0	13581.0
284.5435420393067	2804.0	13616.0
285.00885342918065	2805.0	13621.0
285.474136458241	2807.0	13926.0
285.93939112664657	2809.0	13923.0
286.4046174345565	2811.0	14000.0
286.8698153821296	2798.0	14030.0
287.33498496952495	2810.0	14181.0
287.8001261969014	2796.0	14242.0
288.26523906441804	2813.0	14466.0
288.7303235722336	2809.0	14547.0
289.1953797205073	2814.0	14560.0
289.6604075093979	2800.0	14767.0
290.1254069390645	2791.0	14820.0
290.5903780096659	2794.0	14884.0
291.0553207213613	2799.0	14986.0
291.52023507430937	2813.0	14989.0
291.98512106866934	2812.0	15109.0
292.44997870459997	2789.0	15142.0
292.9148079822603	2794.0	15352.0
293.3796089018093	2807.0	15455.0
293.84438146340597	2791.0	15563.0
294.3091256672091	2803.0	15667.0
294.7738415133777	2818.0	15782.0
295.23852900207095	2808.0	15774.0
295.70318813344755	2805.0	15933.0
296.1678189076665	2812.0	15965.0
296.6324213248868	2798.0	16002.0
297.0969953852676	2800.0	16072.0
297.56154108896754	2805.0	16073.0
298.0260584361457	2795.0	16293.0
298.49054742696103	2804.0	16166.0
298.9550080615726	2793.0	16324.0
299.4194403401392	2807.0	16402.0
299.88384426281993	2804.0	16518.0
300.34821982977365	2805.0	16551.0
300.8125670411594	2798.0	16478.0
301.276885897136	2798.0	16631.0
301.7411763978626	2803.0	16633.0
302.205438543498	2789.0	16657.0
302.6696723342012	2815.0	16589.0
303.1338777701312	2796.0	16766.0
303.598054851447	2807.0	16741.0
304.0622035783074	2806.0	16724.0
304.5263239508714	2811.0	16960.0
304.9904159692982	2795.0	17083.0
305.4544796337465	2801.0	16820.0
305.91851494437526	2793.0	16977.0
306.38252190134347	2808.0	16887.0
306.8465005048102	2812.0	16990.0
307.3104507549344	2811.0	16985.0
307.77437265187484	2817.0	17022.0
308.2382661957906	2787.0	16950.0
308.70213138684073	2814.0	17134.0
309.16596822518403	2802.0	17104.0
309.6297767109795	2809.0	17226.0
310.09355684438617	2803.0	17111.0
310.55730862556294	2800.0	17134.0
311.0210320546688	2799.0	17192.0
311.48472713186266	2794.0	17195.0
311.94839385730353	2803.0	17277.0
312.4120322311503	2800.0	17085.0
312.87564225356203	2795.0	17155.0
313.3392239246976	2806.0	17103.0
313.80277724471597	2800.0	17138.0
314.2663022137761	2806.0	17118.0
314.729798832037	2812.0	17127.0
315.19326709965765	2810.0	16978.0
315.6567070167969	2806.0	17173.0
316.1201185836137	2809.0	17039.0
316.5835018002672	2809.0	16994.0
317.0468566669162	2799.0	16988.0
317.5101831837196	2804.0	16951.0
317.97348135083644	2799.0	17059.0
318.43675116842576	2804.0	17238.0
318.89999263664646	2804.0	16929.0
319.3632057556574	2807.0	16918.0
319.8263905256176	2801.0	16972.0
320.2895469466862	2792.0	16990.0
320.7526750190219	2798.0	16937.0
321.21577474278376	2800.0	16857.0
321.6788461181307	2798.0	16791.0
322.1418891452218	2809.0	16878.0
322.6049038242158	2812.0	16805.0
323.0678901552719	2786.0	16850.0
323.5308481385489	2818.0	16879.0
323.99377777420585	2802.0	16777.0
324.45667906240163	2806.0	16787.0
324.9195520032952	2810.0	16876.0
325.3823965970456	2799.0	16686.0
325.84521284381174	2810.0	16834.0
326.3080007437526	2800.0	16779.0
326.77076029702704	2798.0	16746.0
327.23349150379414	2815.0	16737.0
327.6961943642128	2796.0	16749.0
328.15886887844204	2801.0	16669.0
328.6215150466407	2787.0	16658.0
329.0841328689678	2799.0	16764.0
329.54672234558234	2800.0	16595.0
330.0092834766433	2787.0	16600.0
330.4718162623096	2797.0	16521.0
330.9343207027401	2801.0	16638.0
331.39679679809376	2803.0	16516.0
331.8592445485298	2797.0	16691.0
332.32166395420694	2793.0	16446.0
332.78405501528414	2802.0	16520.0
333.2464177319205	2803.0	16429.0
333.7087521042748	2795.0	16457.0
334.1710581325062	2810.0	16324.0
334.63333581677347	2808.0	16429.0
335.09558515723563	2809.0	16242.0
335.5578061540517	2798.0	16320.0
336.01999880738066	2805.0	16284.0
336.48216311738133	2804.0	16328.0
336.94429908421273	2810.0	16187.0
337.4064067080338	2804.0	16354.0
337.8684859890036	2803.0	16253.0
338.33053692728106	2813.0	16195.0
338.792559523025	2806.0	16223.0
339.25455377639446	2803.0	16142.0
339.7165196875485	2808.0	16147.0
340.17845725664597	2801.0	16018.0
340.6403664838458	2817.0	16109.0
341.102247369307	2787.0	16066.0
341.5640999131886	2801.0	16271.0
342.0259241156495	2816.0	16030.0
342.48771997684855	2791.0	16048.0
342.94948749694487	2804.0	15937.0
343.41122667609733	2808.0	15904.0
343.8729375144649	2807.0	15943.0
344.3346200122066	2799.0	15809.0
344.7962741694812	2805.0	15747.0
345.2578999864479	2814.0	15767.0
345.7194974632656	2782.0	15696.0
346.1810666000931	2796.0	15673.0
346.6426073970895	2804.0	15537.0
347.10411985441374	2805.0	15606.0
347.56560397222484	2797.0	15465.0
348.0270597506816	2812.0	15445.0
348.48848718994304	2820.0	15453.0
348.94988629016814	2809.0	15428.0
349.411257051516	2794.0	15147.0
349.8725994741454	2799.0	15216.0
350.3339135582152	2801.0	15159.0
350.79519930388454	2801.0	14992.0
351.2564567113124	2809.0	14935.0
351.7176857806577	2795.0	14902.0
352.17888651207926	2794.0	14700.0
352.6400589057362	2798.0	14801.0
353.1012029617875	2800.0	14599.0
353.562318680392	2800.0	14571.0
354.0234060617087	2813.0	14498.0
354.4844651058965	2793.0	14224.0
354.9454958131145	2793.0	14084.0
355.4064981835216	2807.0	14081.0
355.8674722172767	2803.0	13878.0
356.32841791453876	2801.0	13834.0
356.7893352754668	2804.0	13755.0
357.2502243002198	2803.0	13557.0
357.71108498895666	2806.0	13569.0
358.1719173418363	2795.0	13728.0
358.6327213590178	2802.0	14036.0
359.09349704066	2848.0	14279.0
359.5542443869219	2809.0	14595.0
360.01496339796245	2800.0	14950.0
360.47565407394063	2797.0	15159.0
360.9363164150155	2803.0	15347.0
361.3969504213458	2809.0	15328.0
361.8575560930906	2812.0	15345.0
362.31813343040886	2787.0	15136.0
362.77868243345955	2799.0	15131.0
363.2392031024017	2801.0	15118.0
363.6996954373941	2809.0	15270.0
364.16015943859577	2798.0	15159.0
364.6205951061657	2805.0	15165.0
365.0810024402629	2784.0	15033.0
365.5413814410462	2799.0	14892.0
366.0017321086746	2809.0	15035.0
366.4620544433072	2808.0	15059.0
366.9223484451028	2793.0	15121.0
