Wavelength (nm)	Absorbance	Absorbance (normalized)
349.8725994741454	0.03243539638754388	0.6478355306320722
350.3339135582152	0.0335681458306911	0.6704600532502327
350.79519930388454	0.03341848247986227	0.6674708115547976
351.2564567113124	0.032366069639169735	0.6464508602655378
351.7176857806577	0.03281801057274699	0.6554775236072405
352.17888651207926	0.032769526962034154	0.6545091554002918
352.6400589057362	0.032497235647718135	0.6490706526168737
353.1012029617875	0.03250888844138287	0.6493033950785252
353.562318680392	0.032287385286202216	0.644879289487747
354.0234060617087	0.03265876087492659	0.6522968128048036
354.4844651058965	0.031383935016388254	0.6268345831429807
354.9454958131145	0.032069460084071785	0.6405266467259298
355.4064981835216	0.03185542052687346	0.6362516123550808
355.8674722172767	0.03188253416028308	0.636793155779399
356.3284179145388	0.03198504786918948	0.6388406727654858
