wavelength	dark	baseline
421.49508397975035	2738.96	22174.56
421.9519791951493	2738.98	22978.96
422.40884609694535	2735.9	22965.74
422.8656846852973	2735.38	22235.62
423.3224949603641	2736.32	21645.36
423.779276922305	2735.7	21233.06
424.2360305712786	2735.54	20877.94
424.692755907444	2735.78	20846.48
425.14945293096014	2736.16	21122.8
425.606121641986	2738.5	20972.66
426.0627620406807	2742.32	20177.74
426.51937412720287	2737.52	19545.16
426.9759579017117	2742.3	19533.14
427.4325133643661	2742.3	19831.28
427.88904051532506	2735.66	20247.5
428.3455393547475	2740.26	20254.44
428.8020098827922	2739.9	20490.74
429.2584520996184	2738.52	21316.86
429.71486600538503	2737.24	22403.84
430.17125160025086	2738.66	23466.84
430.627608884375	2737.08	23784.36
431.0839378579163	2738.92	23500.34
431.54023852103387	2740.22	22464.38
431.9965108738866	2738.18	21122.14
432.45275491663335	2740.56	20067.94
432.9089706494331	2736.6	19802.64
433.365158072445	2740.42	19675.42
433.82131718582787	2735.26	19493.84
434.2774479897406	2739.28	19496.28
434.7335504843423	2741.34	19330.68
435.18962466979184	2740.3	19406.66
435.6456705462482	2736.48	19711.82
436.10168811387024	2738.98	20066.26
436.557677372817	2737.8	20588.14
437.01363832324756	2734.02	20935.7
437.4695709653207	2741.44	20242.22
437.92547529919545	2740.2	19838.96
438.3813513250307	2740.12	20100.48
438.83719904298556	2740.44	20401.3
439.2930184532189	2739.44	20227.16
439.74880955588964	2736.26	19699.66
440.20457235115674	2738.06	19313.46
440.6603068391792	2736.48	19334.46
441.116013020116	2739.32	19846.32
441.57169089412605	2736.26	20524.62
442.02734046136834	2736.68	20545.62
442.4829617220018	2740.98	20296.1
442.93855467618545	2738.34	20542.64
443.3941193240782	2737.24	20964.06
443.84965566583895	2736.04	21278.76
444.3051637016267	2736.38	21052.06
444.76064343160056	2737.66	20712.38
445.21609485591927	2742.1	20704.54
445.67151797474185	2737.04	20886.94
446.12691278822734	2738.66	21023.92
446.58227929653464	2736.74	21312.2
447.0376174998227	2736.64	21471.6
447.49292739825046	2738.28	21119.32
447.9482089919769	2738.92	21032.68
448.40346228116107	2740.18	21009.94
448.85868726596186	2736.62	20628.0
449.31388394653806	2738.7	20590.52
449.76905232304887	2739.68	20575.66
450.2241923956532	2742.56	20585.92
450.6793041645099	2739.0	20557.26
451.134387629778	2739.92	20497.14
451.5894427916165	2738.94	20303.18
452.04446965018434	2733.84	20165.98
452.4994682056403	2737.94	20076.76
452.9544384581436	2737.0	19644.44
453.4093804078531	2735.2	19281.0
453.86429405492777	2740.1	18854.1
454.31917939952643	2738.2	18711.1
454.7740364418083	2737.26	18554.92
455.22886518193206	2736.36	18639.42
455.68366562005696	2739.04	18765.6
456.13843775634166	2739.0	18610.62
456.5931815909453	2738.02	18553.94
457.04789712402675	2735.68	18775.26
457.5025843557451	2737.44	19065.98
457.9572432862592	2736.28	19015.28
458.41187391572805	2738.2	18936.26
458.8664762443105	2739.26	18817.34
459.32105027216573	2740.86	18682.24
459.77559599945243	2734.44	18686.4
460.23011342632975	2738.64	18889.98
460.6846025529566	2736.86	19018.8
461.139063379492	2736.04	19261.26
461.5934959060948	2734.22	18994.9
462.0479001329239	2739.4	18010.5
462.5022760601385	2738.28	17026.82
462.9566236878973	2735.4	16893.52
463.41094301635945	2738.64	17111.68
463.8652340456838	2739.86	17535.56
464.3194967760294	2737.2	18077.88
